ID,band,status,word,Pos,COCA-All,COCA-Acad,ratio,disp,range
1638,4,x,greatest,j,24471,7691,1.10051571589004,0.948690401705001,9
1639,4,r,literary,j,13643,7688,1.973188838005,0.81987900682709,6
1640,4,x,light,j,32363,7687,0.831712564596027,0.843569124811148,8
1641,4,x,obvious,j,22593,7685,1.19106407074135,0.953850122219427,9
1642,4,y,independence,n,16399,7682,1.6402954926286,0.906201006478161,8
1643,4,y,yield,v,13535,7676,1.98582905432808,0.933191999695457,9
1644,4,r,constitution,n,14333,7664,1.87233497409886,0.863172008929435,6
1645,4,x,necessarily,r,19859,7663,1.35115945389385,0.957057439265963,9
1646,4,r,bird,n,39645,7662,0.676735376617403,0.810573921368901,7
1647,4,y,formation,n,11251,7661,2.3842922777634,0.91339620044204,8
1648,4,x,elite,n,13319,7656,2.01277606972829,0.888830972456486,6
1649,4,r,transfer,n,12781,7653,2.09667942305518,0.891988054961455,9
1650,4,r,impose,v,15945,7650,1.67997208776578,0.915939193858239,9
1651,4,x,slightly,r,29156,7645,0.918152249794912,0.911678174596471,9
1652,4,r,coach,n,44724,7633,0.597612644853967,0.739224062073442,7
1653,4,x,survive,v,29964,7625,0.89105644164334,0.931654942627067,9
1654,4,y,insight,n,12793,7621,2.08595394839968,0.938122831114139,9
1655,4,r,Indian,n,16851,7617,1.58279048758847,0.802099410457102,7
1656,4,x,dead,j,60042,7602,0.443340972538202,0.933588157742089,8
1657,4,x,will,n,48885,7600,0.544381210910848,0.930473518668386,9
1658,4,x,belong,v,23577,7594,1.12783924850876,0.937898371918073,9
1659,4,y,territory,n,17219,7593,1.54408295331959,0.896700845778386,7
1660,4,x,list,v,18343,7592,1.44927562472491,0.945148281311031,9
1661,4,r,bright,j,32290,7590,0.823074004539086,0.805325626778218,9
1662,4,y,conventional,j,14105,7590,1.88422967788494,0.912333581218006,9
1663,4,x,fewer,d,19849,7586,1.33825649912052,0.939773488225405,9
1664,4,x,personality,n,18354,7584,1.4468807929215,0.913416673435488,9
1665,4,x,top,j,45439,7578,0.583970609828461,0.916344491590296,9
1666,4,x,closely,r,18559,7567,1.42769131215608,0.945792234875469,9
1667,4,r,preparation,n,14583,7563,1.81598551099094,0.920085018301149,8
1668,4,x,newspaper,n,39628,7548,0.666952479902249,0.917553245950336,9
1669,4,y,inform,v,17168,7547,1.53928770297561,0.951472887906736,8
1670,4,x,close,v,65806,7543,0.401368947043757,0.945865218176566,9
1671,4,y,index,n,13788,7538,1.91434413872618,0.932052378293736,9
1672,4,x,guide,n,22350,7535,1.18051329834961,0.938308718200639,9
1673,4,x,bear,v,23972,7520,1.09844603641328,0.944540887572414,9
1674,4,y,crucial,j,15322,7517,1.71788562969953,0.952845818606437,9
1675,4,r,leg,n,51067,7515,0.515292467552319,0.853967781919743,8
1676,4,x,feed,v,31124,7514,0.845358528839908,0.892776763063874,8
1677,4,x,familiar,j,26480,7506,0.992557633707158,0.944491520755149,9
1678,4,r,effectiveness,n,9707,7501,2.70582241641709,0.902149456996746,8
1679,4,y,racial,j,16909,7499,1.55292536627824,0.894943708398048,8
1680,4,y1,via,i,14740,7492,1.77977638373351,0.917083495322997,9
1681,4,y,detect,v,12882,7491,2.03620573725749,0.839633379583466,8
1682,4,x,born,v,38216,7487,0.686005755490556,0.942219786402586,9
1683,4,y,poverty,n,16283,7484,1.60940190291618,0.912947551753303,8
1684,4,r,enemy,n,24759,7475,1.05716615716529,0.889850930656694,6
1685,4,y,agricultural,j,11331,7473,2.30936137212016,0.870696737255258,8
1686,4,x,season,n,93030,7470,0.281165956582292,0.898028606869815,8
1687,4,x,proposal,n,24813,7466,1.0535953969825,0.923940317307027,9
1688,4,x,funding,n,18304,7460,1.42711172705643,0.940147790831632,9
1689,4,y,distinction,n,12092,7455,2.15881120638737,0.930240989663128,8
1690,4,x,refuse,v,32410,7441,0.803928505501464,0.92941091530727,9
1691,4,y,relative,j,10940,7440,2.38133649674785,0.929428041090488,8
1692,4,x,screen,n,33148,7440,0.785924377773063,0.846621333143355,9
1693,4,x,magazine,n,42662,7438,0.610492196724475,0.945024750264445,9
1694,4,r,convention,n,20463,7432,1.27174942888988,0.89884436993785,7
1695,4,y,identification,n,10581,7420,2.45551360899746,0.92243059451921,8
1696,4,x,extremely,r,21781,7420,1.1928648591342,0.934144414341899,9
1697,4,x,destroy,v,28210,7406,0.919275691331743,0.927869598992763,9
1698,4,x,shift,v,23211,7393,1.11530078829072,0.938682322957436,9
1699,4,x,pull,v,94325,7390,0.274335985479703,0.930269151890166,9
1700,4,x,release,v,37764,7390,0.685222482532914,0.892949807118704,9
1701,4,x,own,v,37182,7388,0.695759739998145,0.91983592502912,9
1702,4,x,zone,n,22334,7382,1.1573712330673,0.891572104757533,9
1703,4,x,green,j,49572,7380,0.521296819607102,0.881548809932017,9
1704,4,x,priority,n,18211,7378,1.41863284629077,0.940619994977351,9
1705,4,y,shift,n,16423,7361,1.56945720957345,0.943840097242909,9
1706,4,r,amendment,n,15741,7357,1.63656625356082,0.810120579145961,6
1707,4,r,secondary,j,10003,7351,2.57324601259773,0.927856755480987,8
1708,4,x,visit,n,27372,7350,0.940255672772692,0.947969674343019,9
1709,4,x,solve,v,21131,7350,1.21795836804383,0.926969385840754,9
1710,4,x,grant,v,20094,7339,1.27889722292443,0.938696250462458,9
1711,4,r,elementary,j,15024,7332,1.70884249702321,0.883235718492178,7
1712,4,y,domain,n,9346,7319,2.74214947783266,0.914798482588195,8
1713,4,y,monitor,v,15660,7319,1.63653442016756,0.902666728811454,9
1714,4,x,yes,u,173566,7313,0.1475353438262,0.95387666668376,9
1715,4,r,alcohol,n,17669,7310,1.44867364988937,0.860022512975116,8
1716,4,y,integration,n,9469,7308,2.70246188004365,0.92242898642698,8
1717,4,x,expose,v,19089,7308,1.34054227786334,0.94675594752776,8
1718,4,y,whole,n,16050,7303,1.59327748272452,0.94235363512733,8
1719,4,x,unless,c,30050,7300,0.85063556842215,0.953889132540242,9
1720,4,r,heat,n,45239,7295,0.564647558228094,0.821833581909374,8
1721,4,y,subsequent,j,10491,7281,2.43018479099677,0.947599895308214,8
1722,4,x,good,n,18073,7281,1.41067164512517,0.921714012031173,8
1723,4,r,Supreme,j,25863,7277,0.985232273395324,0.841939717402635,7
1724,4,r,hole,n,34949,7277,0.729092743335239,0.807793663122191,8
1725,4,y,strategic,j,13522,7274,1.88363833162109,0.902582366133395,9
1726,4,x,corporate,j,24923,7266,1.02084599803926,0.923171396947016,9
1727,4,y,preference,n,11489,7256,2.21146565587283,0.926613828695109,8
1728,4,x,fast,r,38419,7256,0.661327179789242,0.89093620037893,9
1729,4,x,chapter,n,17143,7255,1.48188924525707,0.92635725683861,9
1730,4,y,profession,n,12554,7248,2.02162786436794,0.928996324604488,8
1731,4,y,apparent,j,14249,7246,1.78065218832993,0.94478696592521,9
1732,4,x,impossible,j,24088,7245,1.05318048167686,0.946617475426802,9
1733,4,x,duty,n,21783,7245,1.16462431449443,0.931248633395214,9
1734,4,x,proper,j,18245,7235,1.38854456310345,0.954311075895412,8
1735,4,x,ready,j,55154,7234,0.459268483971091,0.949582817349084,9
1736,4,x,hit,v,80509,7234,0.314629345351967,0.928760770176089,9
1737,4,y,assign,v,13864,7218,1.82302860234031,0.942002850334727,9
1738,4,y,joint,j,16656,7213,1.51638812430602,0.922393004260823,9
1739,4,x,aim,v,19865,7213,1.27143018366177,0.953567994028102,9
1740,4,r,judge,n,43496,7210,0.580431668010811,0.85486947216073,8
1741,4,r,assist,v,14965,7204,1.6856295555304,0.935287713958232,8
1742,4,r,astronomer,n,8614,7196,2.92517222979622,0.707273358048549,1
1743,4,y,Asian,j,16089,7192,1.56525745738957,0.888309401196881,9
1744,4,x,daughter,n,65877,7169,0.381056980246193,0.932333222464361,9
1745,4,x,forward,r,52561,7159,0.476929183213195,0.945086559641301,9
1746,4,r,online,j,18358,7158,1.36531066619391,0.889588845224491,8
1747,4,x,prefer,v,22572,7157,1.11026367274086,0.958240490779837,9
1748,4,x,admit,v,37772,7156,0.663384783231648,0.959136597433308,9
1749,4,x,later,j,16957,7151,1.47666816582066,0.946130115340725,8
1750,4,y,exception,n,15217,7150,1.64528885450089,0.946456632505649,9
1751,4,x,entirely,r,20610,7143,1.21357832978036,0.944168302433223,9
1752,4,r,prevention,n,11488,7141,2.17660569281087,0.865084261863983,7
1753,4,r,profit,n,22947,7140,1.08952562906394,0.882778092616335,9
1754,4,x,root,n,22449,7137,1.11322730827598,0.934742653765879,9
1755,4,x,handle,v,33146,7137,0.753962464354292,0.917857086800986,9
1756,4,x,sign,v,42998,7134,0.580965046672972,0.940144373624452,9
1757,4,x,benefit,v,16680,7133,1.49741207961412,0.960086015363542,9
1758,4,r,colonial,j,10228,7129,2.44063620770821,0.865683550751494,6
1759,4,y,dependent,j,10751,7128,2.32158176388788,0.923975656429914,8
1760,4,x,ship,n,36015,7125,0.692734160125385,0.879036806135501,8
1761,4,x,master,n,28305,7124,0.881304334500433,0.943144189347087,9
1762,4,x,immediate,j,16909,7120,1.474440406441,0.957535325056886,9
1763,4,x,before,r,60244,7107,0.413083330739298,0.951739567103542,9
1764,4,r,solar,j,13251,7085,1.87221773614647,0.734429943300286,3
1765,4,x,portion,n,16904,7084,1.46741928731637,0.932997929323952,9
1766,4,y,presentation,n,12337,7080,2.00950387268153,0.948157311179588,9
1767,4,x,gift,n,30081,7078,0.823916960856026,0.913712006046602,9
1768,4,x,insist,v,29171,7078,0.849619351393854,0.935803042438606,9
1769,4,x,trip,n,44342,7067,0.558065234356128,0.924150165176432,9
1770,4,y,proportion,n,11428,7065,2.16474671369072,0.923540311187498,8
1771,4,x,separate,v,19535,7065,1.26637959785296,0.932455935771868,8
1772,4,x,bar,n,43531,7060,0.567899140834179,0.915669461418261,8
1773,4,x,tension,n,16860,7049,1.46397983522906,0.937663195797584,8
1774,4,x,mostly,r,30731,7047,0.802957822530996,0.944539885309584,9
1775,4,r,composition,n,11616,7046,2.12398375131879,0.887218779436624,8
1776,4,r,personnel,n,15043,7045,1.63987859246414,0.923807515732212,9
1777,4,r,tissue,n,13172,7041,1.87174971992971,0.795010189473292,4
1778,4,y,universal,j,13674,7031,1.80047326474364,0.93829548539782,9
1779,4,y,norm,n,10572,7026,2.32710589081533,0.929369613637406,8
1780,4,x,danger,n,25048,7016,0.980802762252073,0.943562274055246,9
1781,4,r,conservation,n,12336,7008,1.98922948101833,0.81809257761233,5
1782,4,y,tendency,n,11259,6999,2.17671379144804,0.937631816909778,8
1783,4,x,representative,n,19844,6994,1.23413186018487,0.923167081216114,9
1784,4,x,exactly,r,57901,6987,0.422541951112101,0.939289865380591,9
1785,4,r,yourself,p,47332,6985,0.516745506920896,0.90053551957822,9
1786,4,y,considerable,j,12229,6984,1.99976259258311,0.941918661441167,8
1787,4,r,repeat,v,24520,6981,0.996924632057747,0.93484420571478,9
1788,4,y,respectively,r,8942,6968,2.72859218548461,0.919291455562105,9
1789,4,y1,concerning,i,9934,6966,2.45541253722986,0.940054546849897,8
1790,4,y,equally,r,15359,6964,1.58767269790217,0.954164589219715,9
1791,4,r,band,n,32654,6961,0.746449445716805,0.880198018138681,8
1792,4,y,resolve,v,16212,6955,1.5021928612849,0.940478613345222,8
1793,4,y,competitive,j,16005,6948,1.52008994345417,0.905216770225849,9
1794,4,y,related,j,9969,6945,2.43941566639994,0.934382952139229,8
1795,4,y,consumption,n,11022,6944,2.20604547173472,0.913338381749718,8
1796,4,y,symbol,n,15552,6944,1.56346664026878,0.91774810572588,7
1797,4,r,decrease,v,10025,6944,2.42543971964689,0.902886018428321,7
1798,4,y,calculate,v,11375,6941,2.13666183936854,0.909846435173339,9
1799,4,x,United,j,27965,6938,0.868729614023752,0.903260299197889,9
1800,4,y,dominant,j,10714,6931,2.26521490890493,0.930641897882711,8
1801,4,x,nine,m,36081,6928,0.672348542650274,0.955699866393418,9
1802,4,y,extensive,j,12375,6924,1.95919203328005,0.93608146275671,8
1803,4,x,huge,j,46773,6916,0.51775572874934,0.924596350838197,9
1804,4,y,barrier,n,14001,6916,1.72966135995949,0.924351551656127,9
1805,4,y,advanced,j,12636,6915,1.91623038239252,0.901916468821152,9
1806,4,x,block,n,32262,6914,0.750418000217932,0.911035059056337,9
1807,4,r,Islamic,j,14648,6894,1.64800339605486,0.861983219902047,6
1808,4,y,motor,n,15400,6890,1.56661996038231,0.86286677704542,9
1809,4,r,severe,j,15797,6889,1.52702701785191,0.925893518290263,8
1810,4,x,strike,v,36034,6889,0.669435694094651,0.939112573177618,9
1811,4,x,mass,j,16938,6881,1.42250756228356,0.924642874252559,9
1812,4,y,adjustment,n,11139,6879,2.16244096527489,0.919781921079731,8
1813,4,x,virtually,r,18296,6879,1.31654076914063,0.943847293188952,9
1814,4,r,Canadian,j,13595,6878,1.77152837979522,0.865447451132614,8
1815,4,x,care,v,47102,6878,0.511314345958048,0.945345303352494,9
1816,4,r,investor,n,23789,6873,1.01166170830683,0.816036027013863,5
1817,4,y,shape,v,14893,6871,1.61548493931036,0.942645002884848,8
1818,4,x,declare,v,22126,6866,1.08659085495545,0.923292309079505,9
1819,4,y,integrate,v,9813,6866,2.45000603859618,0.936407772938323,9
1820,4,y,dominate,v,15745,6864,1.52651038926532,0.930920749025049,8
1821,4,x,pair,n,27554,6861,0.871902493733741,0.877891945811931,9
1822,4,y,establishment,n,12308,6858,1.95108031732991,0.927368825183807,8
1823,4,x,gather,v,29965,6858,0.801398182736412,0.944213815946195,9
1824,4,r,legislation,n,20186,6856,1.18928432418184,0.900518423428273,9
1825,4,y,entry,n,15681,6842,1.52782801630005,0.905019869265089,9
1826,4,x,worth,i,30039,6840,0.797325741397487,0.940322692504225,9
1827,4,x,experimental,j,9582,6834,2.49737616495025,0.8876984702995,6
1828,4,x,judge,v,24613,6822,0.970537494250259,0.945187162246615,9
1829,4,y,visible,j,15722,6815,1.51783031572413,0.887600147533906,8
1830,4,r,instructional,j,7556,6810,3.15587880881551,0.824191546318035,6
1831,4,r,infection,n,13765,6810,1.73235163671703,0.81421492694419,6
1832,4,x,present,n,16657,6809,1.43136931563481,0.92960274708219,8
1833,4,x,preserve,v,16673,6809,1.42999572305698,0.940162007476214,8
1834,4,y,stability,n,12044,6794,1.97524035680127,0.924080509849765,8
1835,4,r,invest,v,19491,6780,1.21803768985588,0.905020055604376,9
1836,4,y,efficiency,n,11396,6778,2.08264035058081,0.870005050760131,9
1837,4,r,atmosphere,n,16467,6776,1.44086756892312,0.827092493261376,8
1838,4,y,sequence,n,10852,6768,2.18381437029204,0.878000200773418,7
1839,4,r,nurse,n,22131,6764,1.0702068225966,0.804736717334099,7
1840,4,r,sing,v,45167,6763,0.524304151305253,0.843412896900271,7
1841,4,r,feedback,n,8609,6762,2.75034777710807,0.887954960043571,7
1842,4,x,gap,n,17859,6760,1.3254236427214,0.939199584012952,9
1843,4,x,decline,v,19593,6759,1.20794361488697,0.929700965170007,9
1844,4,x,Spanish,j,16919,6748,1.39657909857496,0.898511790061139,8
1845,4,x,welfare,n,20635,6748,1.1450798046421,0.882347809789287,7
1846,4,y,hence,r,9036,6745,2.61379116889629,0.94379287982183,8
1847,4,x,until,i,29327,6741,0.804862776507076,0.937341017070035,9
1848,4,y,process,v,12875,6739,1.83279281311542,0.887519245532956,9
1849,4,y,given,j,11532,6735,2.04502264250236,0.936145872641999,9
1850,4,y,sufficient,j,11000,6716,2.13787917496352,0.945355464847028,8
1851,4,x,maybe,r,118492,6714,0.198407215228343,0.944041207490784,9
1852,4,r,asset,n,18161,6705,1.29277867115842,0.884488608305095,8
1853,4,x,confidence,n,20855,6704,1.12561265202719,0.952233313200029,9
1854,4,r,genetic,j,13003,6701,1.80451796442238,0.833735758249908,6
1855,4,r,general,n,22586,6700,1.03872511744015,0.887111074490702,9
1856,4,y,dialogue,n,12761,6692,1.83626931991658,0.906098844967815,7
1857,4,x,conversation,n,36979,6674,0.631969609551312,0.9360603633446269,9
1858,4,r,wind,n,39876,6670,0.585705633365285,0.830479152515975,8
1859,4,x,figure,v,39548,6664,0.590032069960258,0.937024339639174,9
1860,4,x,fourth,m,25230,6662,0.924597111574567,0.958099510937312,9
1861,4,x,republic,n,16290,6660,1.43158882426424,0.889415251055877,6
1862,4,x,onto,i,47113,6654,0.494546567061715,0.909424619325307,9
1863,4,y,distinct,j,10396,6653,2.2408686826758,0.939782538676556,8
1864,4,x,pose,v,16481,6653,1.41351075936518,0.944822007905345,8
1865,4,r,constitutional,j,13383,6652,1.74045948114897,0.83045518328643,5
1866,4,y,enterprise,n,14461,6651,1.61047421667489,0.922202879646155,9
1867,4,x,Mexican,j,16700,6649,1.39413559698046,0.885799459297675,8
1868,4,r,Republican,n,81388,6644,0.285847502398005,0.834780349278226,6
1869,4,y,transformation,n,10344,6642,2.24841002971838,0.935347743328168,8
1870,4,r,negotiation,n,16777,6637,1.38523248512857,0.877948714542098,7
1871,4,r,layer,n,17812,6626,1.30257848222049,0.824253189230895,8
1872,4,r,English,n,21687,6624,1.06951283015398,0.917662585335912,9
1873,4,x,blue,j,51601,6612,0.448683275149276,0.866797395333618,9
1874,4,y,scope,n,10907,6610,2.12207779437204,0.895162528771136,8
1875,4,x,vast,j,19292,6609,1.19956463375155,0.938353874818354,9
1876,4,x,coast,n,24665,6597,0.936549030924924,0.891008982747209,8
1877,4,x,neighborhood,n,37917,6597,0.609224934666858,0.915346435995167,9
1878,4,y,assert,v,10719,6594,2.15407007007373,0.936747692467534,7
1879,4,r,treaty,n,12483,6592,1.84911270554822,0.842865227492058,5
1880,4,r,troop,n,38823,6592,0.59455667782908,0.838059410488871,6
1881,4,r,psychologist,n,12076,6586,1.90969396903549,0.853017754146685,6
1882,4,x,total,n,15887,6577,1.44960974823087,0.934231602567531,9
1883,4,y,capability,n,11791,6567,1.95021068453347,0.887245184047099,9
1884,4,x,miss,v,52940,6564,0.434159981388198,0.95295160200464,9
1885,4,r,doctrine,n,8764,6559,2.62059806826636,0.863563330204621,6
1886,4,r,dance,n,23374,6548,0.980936253640613,0.844255618172403,7
1887,4,x,host,n,21773,6545,1.05258343939525,0.897031417643804,9
1888,4,x,appearance,n,22773,6538,1.0052864402488,0.935350747992779,9
1889,4,r,carbon,n,12571,6535,1.82029141175269,0.782674202357217,7
1890,4,x,arrangement,n,15294,6525,1.49391051708731,0.940828457441613,9
1891,4,x,issue,v,20962,6523,1.08963191826025,0.928183670513587,9
1892,4,y,reflection,n,12921,6520,1.76691893072738,0.932472588501591,8
1893,4,r,diet,n,18024,6513,1.26530450409242,0.828903463602444,6
1894,4,y,precisely,r,13770,6507,1.6546723927724,0.929433026028091,9
1895,4,y,electronic,j,15056,6505,1.51287431394221,0.880499897878679,9
1896,4,r,immigration,n,16212,6500,1.4039185619485,0.83888395354021,4
1897,4,y,decline,n,12849,6498,1.7708245426529,0.937378738018905,9
1898,4,y,distinguish,v,10247,6497,2.22014472134929,0.943487091057327,8
1899,4,x,agenda,n,17991,6493,1.26373278884677,0.923948801966233,8
1900,4,x,surround,v,24177,6489,0.939810987658453,0.92892789288701,9
1901,4,x,myself,p,65113,6481,0.348529441702435,0.932291386797459,9
1902,4,x,inside,i,44424,6480,0.510766611486802,0.89152675218047,9
1903,4,r,fruit,n,24055,6473,0.942248381896607,0.893266877725887,9
1904,4,x,hard,r,55196,6470,0.410451483076309,0.963149138179981,9
1905,4,x,correct,j,22244,6469,1.0183320657705,0.940966938794376,8
1906,4,y,retain,v,12872,6468,1.75949944702595,0.951083792369922,9
1907,4,r,Muslim,j,14937,6463,1.51508127051705,0.865192080178242,5
1908,4,y,expansion,n,12932,6454,1.74754520861309,0.913997341382119,9
1909,4,x,print,n,17064,6450,1.32356119797589,0.846882490310922,8
1910,4,y,evolve,v,12335,6448,1.83042116777451,0.891368312343279,9
1911,4,y1,and/or,c,9101,6442,2.47854472818512,0.928418915630585,8
1912,4,r,reliability,n,7657,6442,2.9459625925575,0.889685553700607,5
1913,4,x,spread,v,29732,6441,0.75856767060177,0.921421388803861,9
1914,4,x,launch,v,22844,6430,0.985607446359707,0.905723577863876,9
1915,4,x,announce,v,36068,6428,0.62404938801373,0.932010629535774,9
1916,4,y1,versus,i,11100,6409,2.02177325568836,0.933304425703768,9
1917,4,x,frame,n,21692,6401,1.03326896676623,0.888049864085114,9
1918,4,x,pollution,n,12116,6390,1.84674421833958,0.849751109496537,6
1919,4,x,truly,r,22424,6388,0.997509354782393,0.945847351129295,9
1920,4,r,ice,n,34674,6381,0.644391724331591,0.821272613394665,8
1921,4,y,incentive,n,13146,6377,1.69858757751025,0.921787419832589,9
1922,4,r,bond,n,24526,6373,0.909876292033997,0.888343139663789,9
1923,4,y,survival,n,13548,6372,1.64689432754243,0.931270829056931,9
1924,4,x,ideology,n,9161,6366,2.43326217839308,0.905900370534884,6
1925,4,y1,rather,c,14658,6361,1.51955293163148,0.955323880045513,9
1926,4,x,constant,j,15249,6359,1.46020091114776,0.928794437940161,9
1927,4,r,soul,n,24666,6351,0.901588866579278,0.868524446863081,8
1928,4,y,recommendation,n,12816,6348,1.73440123411373,0.937571742455728,9
1929,4,x,track,n,36296,6348,0.612411456259686,0.917264994852485,9
1930,4,r,physics,n,9639,6341,2.30351437848685,0.766131993587712,5
1931,4,y,structural,j,8442,6340,2.6297173069597,0.926735134525909,8
1932,4,x,elsewhere,r,16098,6333,1.37753524557007,0.942238184818128,9
1933,4,r,appeal,n,20960,6329,1.05732614635797,0.913476627624043,9
1934,4,y,possess,v,12321,6327,1.79811320914708,0.947315651251557,8
1935,4,r,illness,n,15978,6307,1.38218306873712,0.887551442057355,8
1936,4,r,cope,v,10797,6305,2.04478261503379,0.849486530362245,8
1937,4,y,encounter,v,12942,6302,1.70506978271341,0.940406687651757,8
1938,4,y,membership,n,11094,6295,1.98688498338833,0.938265025571218,9
1939,4,x,apparently,r,28680,6295,0.768567015540799,0.939194647123547,9
1940,4,x,recovery,n,15747,6292,1.39912346726787,0.916506361516399,9
1941,4,r,protein,n,15892,6286,1.38503572273983,0.818984884948396,2
1942,4,y,rapidly,r,13883,6283,1.58470668725336,0.909047228844979,9
1943,4,y,adapt,v,12037,6283,1.82773805259936,0.931722825096311,8
1944,4,x,weak,j,18014,6273,1.21935533753352,0.942940612888083,9
1945,4,x,debt,n,22191,6269,0.989205565085164,0.881723791982856,8
1946,4,x,attract,v,20594,6268,1.06574531931261,0.944499784783252,9
1947,4,r,pound,n,32635,6266,0.672313648786945,0.864666440510731,8
1948,4,x,succeed,v,18757,6266,1.16974761039409,0.950338830371716,9
1949,4,x,crop,n,14779,6262,1.48365583413208,0.833825016186516,8
1950,4,y,utility,n,14198,6259,1.54362901859383,0.876400844599544,8
1951,4,x,movie,n,74861,6257,0.292668300292986,0.929790222876196,9
1952,4,y,initially,r,13121,6255,1.66926594394263,0.949810970394792,9
1953,4,y,intention,n,14289,6250,1.53159286906477,0.918440582905136,8
1954,4,x,fee,n,22234,6249,0.984142705639357,0.902662724447828,9
1955,4,y,collective,j,10234,6238,2.13434741445132,0.921242836160437,8
1956,4,y,rapid,j,11166,6238,1.95619840941204,0.918764825017894,9
1957,4,x,move,n,29235,6233,0.746550487261499,0.953263133577279,9
1958,4,r,cluster,n,10491,6232,2.08005927997416,0.814241315872654,7
1959,4,x,below,i,19761,6228,1.10358258947852,0.916905667226548,9
1960,4,x,throw,v,62663,6225,0.34785105698805,0.947196467037354,9
1961,4,x,camp,n,39332,6223,0.554011685301541,0.915560003371863,9
1962,4,x,ball,n,47767,6209,0.455154507545934,0.904197947368165,9
1963,4,y,reinforce,v,10017,6207,2.16974764741786,0.940850473471488,8
1964,4,x,corporation,n,18390,6204,1.18128642836008,0.929607798805846,9
1965,4,y,ethical,j,9848,6188,2.20022664454166,0.917075675103682,8
1966,4,x,advice,n,24189,6184,0.895193089417602,0.957353530342267,9
1967,4,x,display,n,17007,6184,1.27323017815737,0.879439999731712,9
1968,4,r,secretary,n,29390,6179,0.73617957453275,0.89084750280231,9
1969,4,x,conservative,j,21624,6174,0.999759977391448,0.916735047761353,9
1970,4,r,validity,n,6961,6174,3.10570460438337,0.891815663879441,8
1971,4,y,exhibit,v,10132,6170,2.13233353687217,0.934172761123698,8
1972,4,x,solid,j,19087,6168,1.13154504206145,0.872101422756943,9
1973,4,x,manufacturer,n,16726,6151,1.28771213720258,0.86514811082648,6
1974,4,x,unfortunately,r,18876,6151,1.14104011479394,0.941978752529903,9
1975,4,r,alliance,n,13878,6150,1.55172010505616,0.884324604012402,8
1976,4,x,stone,n,39479,6148,0.545296700529583,0.917824115404187,9
1977,4,x,oppose,v,20058,6142,1.07222848274612,0.910875444315462,7
1978,4,r,holy,j,15357,6141,1.4002251297806,0.82708758948862,5
1979,4,x,chief,j,29240,6134,0.734567243360938,0.930112362433814,9
1980,4,x,capable,j,15066,6131,1.4249463314238,0.934155771885958,9
1981,4,r,instructor,n,10941,6126,1.96058253220236,0.87358761028063,7
1982,4,x,brief,j,17117,6122,1.25236473268109,0.951902272981127,8
1983,4,y,ongoing,j,11829,6114,1.80984989587069,0.950328008860944,8
1984,4,r,ear,n,31940,6091,0.667757604069884,0.849279573597595,8
1985,4,x,order,v,30297,6085,0.703276507268254,0.941928048368372,9
1986,4,y,function,v,10262,6084,2.07597610132774,0.950943183119843,8
1987,4,x,neighbor,n,28917,6074,0.735506825155293,0.928050761054696,9
1988,4,r,ourselves,p,21653,6070,0.981602757469714,0.887418147432839,9
1989,4,y,communicate,v,13356,6070,1.59139297001286,0.947012722790652,9
1990,4,x,address,n,21290,6069,0.99817486700849,0.91270975250847,9
1991,4,r,partnership,n,12513,6069,1.69832517530654,0.930395904682891,9
1992,4,x,accomplish,v,15393,6066,1.37988944013304,0.955646842140154,9
1993,4,x,channel,n,19258,6057,1.10131497829677,0.873030113204528,9
1994,4,y,valuable,j,13574,6049,1.56041779438569,0.948913689961565,9
1995,4,r,ocean,n,21375,6047,0.990601542139387,0.816817851642373,8
1996,4,r,fat,n,27230,6045,0.777345015992194,0.767767976879074,4
1997,4,x,dream,n,42764,6040,0.494565448532939,0.925334083920827,9
1998,4,x,used,j,20717,6037,1.02037418904377,0.93425770928707,9
1999,4,x,shall,v,16980,6037,1.24494064042519,0.886803939238979,7
2000,5,x,forget,v,49137,6033,0.429922171050243,0.955732112628986,9
2001,5,x,by,r,35046,6031,0.602581822208922,0.948277339285769,9
2002,5,r,lab,n,17974,6027,1.17414466371481,0.823021540711646,8
2003,5,y,detailed,j,10743,6021,1.96249340522425,0.916894882101347,9
2004,5,x,key,n,29098,6021,0.724553806183386,0.921722977570044,9
2005,5,y,potentially,r,12641,6015,1.66617017000541,0.944595103768294,9
2006,5,y,wealth,n,13942,6009,1.50918430539037,0.931989810270294,9
2007,5,y,trait,n,8775,5999,2.39384976603337,0.899491435190525,8
2008,5,r,campus,n,19429,5997,1.08080850888779,0.866952470698885,9
2009,5,x,count,v,31094,5996,0.675227597938506,0.957548882507717,9
2010,5,r,variance,n,6255,5992,3.35435980412087,0.865842259641754,5
2011,5,y,administrative,j,9489,5980,2.20671319508951,0.907410314627311,9
2012,5,x,metal,n,25132,5979,0.833041537455172,0.840484232834992,8
2013,5,y,initiate,v,9201,5979,2.27540483853096,0.947560582308694,8
2014,5,y,adequate,j,10007,5975,2.09073584129105,0.946588847818781,8
2015,5,r,perceived,j,6942,5969,3.01080150252286,0.871408571578181,8
2016,5,r,diagnosis,n,9541,5966,2.18954818822668,0.842140526577992,6
2017,5,x,defend,v,22172,5966,0.942200941000847,0.919704121447656,9
2018,5,y,ideal,j,12364,5965,1.68933821376495,0.940171978590195,9
2019,5,r,chief,n,29224,5965,0.714720013515939,0.896080239204564,8
2020,5,x,massive,j,19360,5963,1.07851107940227,0.901315701876619,8
